TIME,city_name,temp (K),humidity,wind_speed,rain_3h,total load actual
2017-01-01 00:00:00+01:00,KotaA,279.15,93,1,0,24401
2017-01-01 01:00:00+01:00,KotaA,279.15,100,0,0,23393
2017-01-01 02:00:00+01:00,KotaA,279.15,93,1,0,21909
2017-01-01 03:00:00+01:00,KotaA,277.15,100,1,0,20615
2017-01-01 04:00:00+01:00,KotaA,278.15,100,1,0,19628
2017-01-01 05:00:00+01:00,KotaA,277.15,100,2,0,19252
2017-01-01 06:00:00+01:00,KotaA,276.15,100,0,0,19351
2017-01-01 07:00:00+01:00,KotaA,276.15,100,0,0,19691
2017-01-01 08:00:00+01:00,KotaA,276.15,100,1,0,19600
2017-01-01 09:00:00+01:00,KotaA,276.15,100,1,0,20238
2017-01-01 10:00:00+01:00,KotaA,278.15,100,2,0,22001
2017-01-01 11:00:00+01:00,KotaA,281.15,87,0,0,23417
2017-01-01 12:00:00+01:00,KotaA,285.15,66,0,0,24064
2017-01-01 13:00:00+01:00,KotaA,286.15,62,0,0,24655
2017-01-01 14:00:00+01:00,KotaA,287.15,50,4,0,24680
2017-01-01 15:00:00+01:00,KotaA,288.15,47,5,0,23427
2017-01-01 16:00:00+01:00,KotaA,288.15,47,5,0,22972
2017-01-01 17:00:00+01:00,KotaA,288.15,51,4,0,23540
2017-01-01 18:00:00+01:00,KotaA,287.15,50,3,0,26259
2017-01-01 19:00:00+01:00,KotaA,284.15,62,2,0,27668
2017-01-01 20:00:00+01:00,KotaA,283.15,66,3,0,28683
2017-01-01 21:00:00+01:00,KotaA,281.15,70,3,0,29180
2017-01-01 22:00:00+01:00,KotaA,279.15,81,2,0,28618
2017-01-01 23:00:00+01:00,KotaA,278.15,80,2,0,26357
2017-01-02 00:00:00+01:00,KotaA,276.15,86,1,0,27653
2017-01-02 01:00:00+01:00,KotaA,276.15,86,1,0,25598
2017-01-02 02:00:00+01:00,KotaA,275.15,93,1,0,24398
2017-01-02 03:00:00+01:00,KotaA,275.15,93,2,0,23780
2017-01-02 04:00:00+01:00,KotaA,274.15,75,1,0,23657
2017-01-02 05:00:00+01:00,KotaA,274.15,75,2,0,24335
2017-01-02 06:00:00+01:00,KotaA,274.15,86,2,0,26983
2017-01-02 07:00:00+01:00,KotaA,274.15,75,2,0,31816
2017-01-02 08:00:00+01:00,KotaA,274.15,75,3,0,34581
2017-01-02 09:00:00+01:00,KotaA,274.15,86,3,0,35414
2017-01-02 10:00:00+01:00,KotaA,276.15,86,1,0,35533
2017-01-02 11:00:00+01:00,KotaA,279.15,70,1,0,35407
2017-01-02 12:00:00+01:00,KotaA,282.15,57,1,0,35145
2017-01-02 13:00:00+01:00,KotaA,283.15,57,1,0,34889
2017-01-02 14:00:00+01:00,KotaA,285.15,46,1,0,33733
2017-01-02 15:00:00+01:00,KotaA,286.15,50,1,0,33114
2017-01-02 16:00:00+01:00,KotaA,286.15,54,1,0,32743
2017-01-02 17:00:00+01:00,KotaA,286.15,54,1,0,32689
2017-01-02 18:00:00+01:00,KotaA,285.15,66,1,0,33801
2017-01-02 19:00:00+01:00,KotaA,283.15,76,1,0,35786
2017-01-02 20:00:00+01:00,KotaA,282.15,76,1,0,36345
2017-01-02 21:00:00+01:00,KotaA,282.15,81,1,0,35573
2017-01-02 22:00:00+01:00,KotaA,280.15,93,1,0,32880
2017-01-02 23:00:00+01:00,KotaA,279.15,93,1,0,29812
2017-01-03 00:00:00+01:00,KotaA,279.15,93,1,0,26347
2017-01-03 01:00:00+01:00,KotaA,279.15,93,1,0,24657
